Id,Hrapx,Hrapy,Lat,Lon,Globvalue
66785,607,52,25.9234,-97.4041,0.03
68361,607,53,25.9561,-97.3993,0.02
126652,586,90,27.2644,-97.9987,0.00
126653,587,90,27.2603,-97.9614,0.00
126654,588,90,27.2562,-97.9240,0.00
126655,589,90,27.2521,-97.8867,0.00
126656,590,90,27.2479,-97.8493,0.00
128226,584,91,27.3057,-98.0689,0.00
128227,585,91,27.3017,-98.0315,0.00
128228,586,91,27.2976,-97.9941,0.01
128229,587,91,27.2935,-97.9568,0.01
128230,588,91,27.2894,-97.9194,0.01
128231,589,91,27.2853,-97.8820,0.01
128232,590,91,27.2811,-97.8446,0.01
128233,591,91,27.2769,-97.8073,0.01
128234,592,91,27.2727,-97.7699,0.00
129800,582,92,27.3470,-98.1393,0.00
129801,583,92,27.3430,-98.1018,0.00
129802,584,92,27.3390,-98.0644,0.01
129803,585,92,27.3349,-98.0270,0.01
129804,586,92,27.3309,-97.9895,0.01
129805,587,92,27.3268,-97.9521,0.01
129806,588,92,27.3226,-97.9147,0.01
129807,589,92,27.3185,-97.8773,0.01
129808,590,92,27.3143,-97.8399,0.01
129809,591,92,27.3101,-97.8025,0.01
129810,592,92,27.3059,-97.7652,0.01
129811,593,92,27.3017,-97.7278,0.00
129812,594,92,27.2975,-97.6904,0.00
131376,582,93,27.3803,-98.1347,0.01
131377,583,93,27.3763,-98.0973,0.01
131378,584,93,27.3722,-98.0598,0.01
131379,585,93,27.3682,-98.0224,0.01
131380,586,93,27.3641,-97.9849,0.01
131381,587,93,27.3600,-97.9475,0.01
131382,588,93,27.3559,-97.9101,0.01
131383,589,93,27.3517,-97.8726,0.01
131384,590,93,27.3476,-97.8352,0.01
131385,591,93,27.3434,-97.7978,0.01
131386,592,93,27.3392,-97.7604,0.01
131387,593,93,27.3349,-97.7230,0.01
131388,594,93,27.3307,-97.6856,0.01
132951,581,94,27.4176,-98.1677,0.00
132952,582,94,27.4136,-98.1302,0.01
132953,583,94,27.4095,-98.0927,0.01
132954,584,94,27.4055,-98.0553,0.01
132955,585,94,27.4014,-98.0178,0.01
132956,586,94,27.3974,-97.9803,0.01
132957,587,94,27.3932,-97.9429,0.01
132958,588,94,27.3891,-97.9054,0.01
132959,589,94,27.3850,-97.8680,0.01
132960,590,94,27.3808,-97.8305,0.01
132961,591,94,27.3766,-97.7931,0.01
132962,592,94,27.3724,-97.7557,0.01
132963,593,94,27.3682,-97.7182,0.01
132964,594,94,27.3639,-97.6808,0.01
132965,595,94,27.3596,-97.6434,0.02
132966,596,94,27.3553,-97.6060,0.02
132967,597,94,27.3510,-97.5686,0.02
132968,598,94,27.3467,-97.5312,0.02
132969,599,94,27.3423,-97.4938,0.03
132970,600,94,27.3379,-97.4564,0.03
132971,601,94,27.3335,-97.4191,0.03
132972,602,94,27.3291,-97.3817,0.02
132973,603,94,27.3246,-97.3443,0.02
132974,604,94,27.3201,-97.3070,0.02
