year,ceremonyNum,award,won,name,movie
1927/28 (1st),1,ACTOR,,Richard Barthelmess,The Noose
1927/28 (1st),1,ACTOR,1,Emil Jannings,The Last Command
1927/28 (1st),1,ACTRESS,,Louise Dresser,A Ship Comes In
1927/28 (1st),1,ACTRESS,1,Janet Gaynor,7th Heaven
1927/28 (1st),1,ACTRESS,,Gloria Swanson,Sadie Thompson
1927/28 (1st),1,ART DIRECTION,,Rochus Gliese,Sunrise
1927/28 (1st),1,ART DIRECTION,1,William Cameron Menzies,The Dove; and Tempest
1927/28 (1st),1,ART DIRECTION,,Harry Oliver,7th Heaven
1927/28 (1st),1,CINEMATOGRAPHY,,George Barnes,The Devil Dancer; The Magic Flame; and Sadie Thompson
1927/28 (1st),1,CINEMATOGRAPHY,1,Charles Rosher,Sunrise
1927/28 (1st),1,CINEMATOGRAPHY,1,Karl Struss,Sunrise
1927/28 (1st),1,DIRECTING (Comedy Picture),1,Lewis Milestone,Two Arabian Knights
1927/28 (1st),1,DIRECTING (Comedy Picture),,Ted Wilde,Speedy
1927/28 (1st),1,DIRECTING (Dramatic Picture),1,Frank Borzage,7th Heaven
1927/28 (1st),1,DIRECTING (Dramatic Picture),,Herbert Brenon,Sorrell and Son
1927/28 (1st),1,DIRECTING (Dramatic Picture),,King Vidor,The Crowd
1927/28 (1st),1,ENGINEERING EFFECTS,,Ralph Hammeras,
1927/28 (1st),1,ENGINEERING EFFECTS,1,Roy Pomeroy,Wings
1927/28 (1st),1,ENGINEERING EFFECTS,,Nugent Slaughter,
1927/28 (1st),1,OUTSTANDING PICTURE,,The Caddo Company,The Racket
1927/28 (1st),1,OUTSTANDING PICTURE,,Fox,7th Heaven
1927/28 (1st),1,OUTSTANDING PICTURE,1,Paramount Famous Lasky,Wings
1927/28 (1st),1,UNIQUE AND ARTISTIC PICTURE,1,Fox,Sunrise
1927/28 (1st),1,UNIQUE AND ARTISTIC PICTURE,,Metro-Goldwyn-Mayer,The Crowd
1927/28 (1st),1,UNIQUE AND ARTISTIC PICTURE,,Paramount Famous Lasky,Chang
1927/28 (1st),1,WRITING (Adaptation),,Alfred Cohn,The Jazz Singer
1927/28 (1st),1,WRITING (Adaptation),,Anthony Coldeway,Glorious Betsy
1927/28 (1st),1,WRITING (Adaptation),1,Benjamin Glazer,7th Heaven
1927/28 (1st),1,WRITING (Original Story),,Lajos Biro,The Last Command
1927/28 (1st),1,WRITING (Original Story),1,Ben Hecht,Underworld
1927/28 (1st),1,WRITING (Title Writing),,Gerald Duffy,The Private Life of Helen of Troy
1927/28 (1st),1,WRITING (Title Writing),1,Joseph Farnham,
1927/28 (1st),1,WRITING (Title Writing),,"George Marion, Jr.",
1927/28 (1st),1,SPECIAL AWARD,1,"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry.",
1927/28 (1st),1,SPECIAL AWARD,1,"To Charles Chaplin, for acting, writing, directing and producing The Circus.",
1928/29 (2nd),2,ACTOR,,George Bancroft,Thunderbolt
1928/29 (2nd),2,ACTOR,1,Warner Baxter,In Old Arizona
