date,hAbv,hScore,hW,hL,vAbv,vScore,vW,vL,tW,tL
1946-11-01,HUS,66,0,0,NYK,68,0,0,0,0
1946-11-02,PRO,59,0,0,BOS,53,0,0,0,0
1946-11-02,BOM,56,0,0,PIT,51,0,0,0,0
1946-11-02,CHS,63,0,0,NYK,47,1,0,1,0
1946-11-02,DEF,33,0,0,WAS,50,0,0,0,0
1946-11-03,CLR,71,0,0,HUS,60,0,1,0,1
1946-11-04,PIT,56,0,1,WAS,71,1,0,1,1
1946-11-05,BOS,55,0,1,CHS,57,1,0,1,1
1946-11-05,DEF,49,0,1,BOM,53,1,0,1,1
1946-11-07,PHW,81,0,0,PIT,75,0,2,0,2
1946-11-07,PRO,73,1,0,CHS,65,2,0,3,0
1946-11-07,BOM,63,2,0,NYK,68,1,1,3,1
1946-11-08,HUS,73,0,2,DEF,71,0,2,0,4
1946-11-09,BOM,70,2,1,WAS,69,2,0,4,1
1946-11-09,PRO,76,2,0,PIT,66,0,3,2,3
1946-11-09,CHS,64,2,1,HUS,54,1,2,3,3
1946-11-09,DEF,69,0,3,BOS,46,0,2,0,5
1946-11-10,CLR,92,1,0,WAS,68,2,1,3,1
1946-11-11,PIT,84,0,4,PRO,71,3,0,3,4
1946-11-11,NYK,68,2,1,CHS,78,3,1,5,2
1946-11-13,DEF,68,1,3,PRO,70,3,1,4,4
1946-11-13,CHS,71,4,1,BOS,61,0,3,4,4
1946-11-14,PHW,68,1,0,WAS,65,2,2,3,2
1946-11-14,BOM,64,3,1,BOS,62,0,4,3,5
1946-11-15,HUS,85,1,3,PRO,68,4,1,5,4
1946-11-16,BOM,83,4,1,CLR,74,2,0,6,1
1946-11-16,CHS,65,5,1,WAS,73,2,3,7,4
1946-11-16,NYK,64,2,2,PIT,62,1,4,3,6
1946-11-16,PRO,59,4,2,DEF,70,1,4,5,6
1946-11-16,BOS,53,0,5,HUS,49,2,3,2,8
1946-11-17,CLR,76,2,1,CHS,78,5,2,7,3
1946-11-18,NYK,61,3,2,DEF,57,2,4,5,6
1946-11-18,PIT,54,1,5,HUS,48,2,4,3,9
1946-11-19,HUS,72,2,5,CLR,74,2,2,4,7
1946-11-19,PHW,63,2,0,BOM,66,5,1,7,1
1946-11-20,NYK,72,4,2,CHS,69,6,2,10,4
1946-11-20,DEF,53,2,5,PIT,54,2,5,4,10
1946-11-20,WAS,54,3,3,BOM,51,6,1,9,4
1946-11-21,PHW,63,2,1,CHS,65,6,3,8,4
1946-11-21,PRO,58,4,3,WAS,66,4,3,8,6
1946-11-21,BOS,53,1,5,BOM,65,6,2,7,7
1946-11-22,HUS,83,2,6,BOS,82,1,6,3,12
1946-11-23,NYK,82,5,2,CLR,76,3,2,8,4
1946-11-23,PRO,59,4,4,BOM,65,7,2,11,6
1946-11-23,WAS,74,5,3,HUS,50,3,6,8,9
1946-11-23,DEF,54,2,6,BOS,46,1,7,3,13
1946-11-24,CLR,62,3,3,PIT,60,3,5,6,8
1946-11-24,CHS,55,7,3,DEF,68,3,6,10,9
1946-11-25,BOS,59,1,8,PRO,71,4,5,5,13
1946-11-25,PIT,46,3,6,NYK,62,6,2,9,8
1946-11-26,HUS,68,3,7,WAS,78,6,3,9,10
1946-11-26,PHW,66,2,2,BOS,54,1,9,3,11
1946-11-26,DEF,66,4,6,CLR,46,4,3,8,9
1946-11-27,WAS,75,7,3,CHS,67,7,4,14,7
1946-11-27,PIT,62,3,7,CLR,60,4,4,7,11
1946-11-27,NYK,67,7,2,BOM,60,8,2,15,4
1946-11-28,CHS,72,7,5,BOM,75,8,3,15,8
1946-11-28,PRO,58,5,5,NYK,60,8,2,13,7
1946-11-28,BOS,59,1,10,PIT,55,4,7,5,17
1946-11-28,PHW,55,3,2,DEF,68,5,6,8,8
1946-11-29,HUS,72,3,8,CLR,87,4,5,7,13
1946-11-30,PRO,79,5,6,HUS,65,3,9,8,15
1946-11-30,NYK,64,9,2,PHW,60,3,3,12,5
1946-11-30,BOM,60,9,3,DEF,57,6,6,15,9
1946-11-30,WAS,49,8,3,PIT,40,4,8,12,11
1946-12-01,CHS,66,7,6,BOS,56,2,10,9,16
1946-12-01,CLR,49,5,5,DEF,47,6,7,11,12
1946-12-02,PIT,44,4,9,BOS,46,2,11,6,20
1946-12-03,PHW,76,3,4,PRO,68,6,6,9,10
1946-12-04,WAS,80,9,3,PRO,62,6,7,15,10
1946-12-04,NYK,70,10,2,DEF,57,6,8,16,10
1946-12-04,PIT,46,4,10,CHS,57,8,6,12,16
1946-12-05,CHS,61,9,6,HUS,65,3,10,12,16
1946-12-05,BOS,61,3,11,DEF,65,6,9,9,20
1946-12-05,BOM,66,10,3,PIT,55,4,11,14,14
1946-12-05,PHW,62,4,4,NYK,51,11,2,15,6
1946-12-07,CHS,86,9,7,CLR,78,6,5,15,12
1946-12-07,BOS,65,3,12,NYK,90,11,3,14,15
1946-12-07,WAS,75,10,3,DEF,64,7,9,17,12
1946-12-07,PRO,59,6,8,HUS,68,4,10,10,18
1946-12-07,BOM,47,11,3,PHW,57,5,4,16,7
1946-12-08,CLR,72,6,6,PHW,66,6,4,12,10
1946-12-08,NYK,62,12,3,BOS,44,3,13,15,16
1946-12-09,PIT,58,4,12,DEF,66,7,10,11,22
1946-12-10,HUS,73,5,10,PHW,85,6,5,11,15
1946-12-10,CLR,61,7,6,BOM,62,11,4,18,10
1946-12-11,CHS,88,10,7,CLR,79,7,7,17,14
1946-12-11,NYK,83,13,3,PRO,68,6,9,19,12
1946-12-11,WAS,81,11,3,DEF,66,8,10,19,13
1946-12-12,BOM,68,12,4,CHS,88,11,7,23,11
1946-12-12,BOS,73,3,14,DEF,66,8,11,11,25
1946-12-12,PHW,49,7,5,WAS,64,12,3,19,8
1946-12-13,HUS,52,5,11,PIT,62,4,13,9,24
1946-12-14,PRO,81,6,10,DEF,66,8,12,14,22
1946-12-14,BOS,77,4,14,PHW,65,7,6,11,20
1946-12-14,WAS,72,13,3,CLR,52,7,8,20,11
1946-12-15,CHS,84,12,7,PIT,75,5,13,17,20
1946-12-15,CLR,70,7,9,NYK,52,14,3,21,12
1946-12-15,BOM,46,12,5,HUS,50,5,12,17,17
1946-12-16,PIT,55,5,14,BOM,66,12,6,17,20
1946-12-17,CLR,78,8,9,HUS,62,6,12,14,21
1946-12-17,PHW,57,7,7,DEF,49,8,13,15,20
1946-12-18,NYK,53,14,4,CLR,56,9,9,23,13
1946-12-18,WAS,68,14,3,BOM,47,13,6,27,9
1946-12-19,PRO,81,7,10,CHS,77,13,7,20,17
1946-12-19,BOS,74,5,14,BOM,76,13,7,18,21
1946-12-19,PHW,58,8,7,CLR,44,10,9,18,16
1946-12-20,HUS,74,6,13,NYK,70,14,5,20,18
1946-12-21,PRO,63,8,10,NYK,61,14,6,22,16
1946-12-21,WAS,68,15,3,PHW,56,9,7,24,10
1946-12-22,CHS,95,13,8,DEF,92,8,14,21,22
1946-12-22,CLR,74,10,10,PIT,78,5,15,15,25
1946-12-22,BOM,65,14,7,BOS,53,5,15,19,22
1946-12-23,PIT,64,6,15,BOS,54,5,16,11,31
1946-12-26,PRO,66,9,10,WAS,78,16,3,25,13
1946-12-26,BOM,55,15,7,DEF,51,8,15,23,22
1946-12-26,PHW,53,9,8,PIT,46,7,15,16,23
1946-12-27,HUS,80,7,13,CHS,88,14,8,21,21
1946-12-27,BOS,60,5,17,PHW,63,10,8,15,25
1946-12-28,PRO,80,9,11,BOS,68,5,18,14,29
1946-12-28,WAS,70,17,3,NYK,49,14,7,31,10
1946-12-29,CLR,79,10,11,CHS,87,15,8,25,19
1946-12-29,BOM,75,16,7,PHW,68,11,8,27,15
1946-12-29,DEF,48,8,16,HUS,52,7,14,15,30
1946-12-30,PIT,60,7,16,PHW,62,11,9,18,25
1946-12-30,BOS,60,5,19,WAS,70,18,3,23,22
1946-12-31,HUS,87,8,14,CHS,76,16,8,24,22
1946-12-31,CLR,59,10,12,BOM,68,17,7,27,19
1947-01-01,CHS,90,16,9,BOM,103,18,7,34,16
1947-01-01,DEF,62,8,17,WAS,57,19,3,27,20
1947-01-01,PIT,48,7,17,CLR,61,10,13,17,30
1947-01-02,PHW,84,12,9,PRO,72,10,11,22,20
1947-01-02,BOM,66,19,7,WAS,57,19,4,38,11
1947-01-03,HUS,53,9,14,BOS,58,5,20,14,34
1947-01-04,PRO,78,10,12,PHW,74,13,9,23,21
1947-01-04,WAS,78,19,5,CLR,64,11,13,30,18
1947-01-04,DEF,50,9,17,NYK,62,14,8,23,25
1947-01-05,BOM,57,20,7,NYK,59,15,8,35,15
1947-01-06,HUS,76,9,15,DEF,61,9,18,18,33
1947-01-06,BOS,53,6,20,CLR,64,11,14,17,34
1947-01-06,PIT,49,7,18,WAS,63,20,5,27,23
1947-01-08,DEF,80,9,19,CHS,83,16,10,25,29
1947-01-08,WAS,77,21,5,PRO,69,11,12,32,17
1947-01-08,PIT,67,7,19,PHW,63,13,10,20,29
1947-01-08,NYK,63,16,8,HUS,76,10,15,26,23
1947-01-09,BOM,84,20,8,CHS,81,17,10,37,18
1947-01-09,PRO,91,11,13,CLR,68,12,14,23,27
1947-01-09,PHW,74,13,11,HUS,55,11,15,24,26
1947-01-10,BOS,66,6,21,NYK,62,16,9,22,30
1947-01-11,PRO,72,12,13,BOS,73,7,21,19,34
1947-01-11,WAS,81,22,5,HUS,66,11,16,33,21
1947-01-11,DEF,58,9,20,PHW,56,14,11,23,31
1947-01-12,CHS,75,17,11,PHW,72,14,12,31,23
1947-01-12,BOM,72,21,8,PIT,59,8,19,29,27
1947-01-13,PIT,50,8,20,NYK,53,16,10,24,30
1947-01-14,CLR,74,12,15,PRO,78,12,14,24,29
1947-01-14,HUS,74,11,17,PHW,104,14,13,25,30
1947-01-15,NYK,63,17,10,WAS,65,23,5,40,15
1947-01-15,DEF,68,10,20,CHS,59,18,11,28,31
1947-01-15,PIT,65,8,21,PRO,53,13,14,21,35
1947-01-16,PHW,78,15,13,CHS,84,18,12,33,25
1947-01-16,BOM,59,22,8,CLR,63,12,16,34,24
1947-01-16,BOS,47,8,21,WAS,38,24,5,32,26
1947-01-17,HUS,64,11,18,DEF,74,11,20,22,38
1947-01-18,WAS,87,24,6,CHS,72,19,12,43,18
1947-01-18,NYK,45,17,11,BOS,58,9,21,26,32
1947-01-19,CLR,79,13,16,NYK,72,17,12,30,28
1947-01-19,BOM,69,22,9,PRO,53,13,15,35,24
1947-01-20,PIT,62,9,21,DEF,57,12,20,21,41
1947-01-20,BOS,54,10,21,CHS,81,19,13,29,34
1947-01-21,HUS,72,11,19,BOM,71,23,9,34,28
1947-01-21,PHW,59,15,14,BOS,43,10,22,25,36
1947-01-22,NYK,74,17,13,CHS,64,20,13,37,26
1947-01-22,WAS,57,25,6,PHW,55,16,14,41,20
1947-01-22,DEF,47,12,21,CLR,61,14,16,26,37
1947-01-23,PHW,83,16,15,CLR,78,15,16,31,31
1947-01-23,CHS,97,20,14,PRO,76,13,16,33,30
1947-01-23,BOS,48,10,23,PIT,43,10,21,20,44
1947-01-24,HUS,93,12,19,PRO,96,13,17,25,36
1947-01-25,WAS,84,26,6,PIT,71,10,22,36,28
1947-01-25,DEF,55,12,22,PHW,61,17,15,29,37
1947-01-25,NYK,46,18,13,BOS,52,11,23,29,36
1947-01-26,BOM,71,23,10,DEF,66,12,23,35,33
1947-01-26,CHS,63,21,14,PHW,57,18,15,39,29
1947-01-27,HUS,82,12,20,CLR,88,15,17,27,37
1947-01-27,PIT,71,10,23,PRO,63,14,17,24,40
1947-01-27,BOS,57,12,23,WAS,80,27,6,39,29
1947-01-28,CLR,80,16,17,HUS,70,12,21,28,38
1947-01-29,DEF,73,12,24,PRO,83,14,18,26,42
1947-01-29,NYK,64,18,14,PIT,60,11,23,29,37
1947-01-29,WAS,69,28,6,BOS,57,12,24,40,30
1947-01-30,BOM,70,24,10,PRO,82,15,18,39,28
1947-01-30,PHW,65,18,16,NYK,58,19,14,37,30
1947-01-30,BOS,66,12,25,PIT,51,11,24,23,49
1947-01-31,HUS,83,12,22,WAS,74,29,6,41,28
1947-02-01,PRO,89,16,18,PIT,73,11,25,27,43
1947-02-01,NYK,63,19,15,PHW,71,19,16,38,31
1947-02-01,BOM,70,24,11,CLR,48,17,17,41,28
1947-02-02,CLR,81,17,18,WAS,107,29,7,46,25
1947-02-02,CHS,90,22,14,HUS,75,13,22,35,36
1947-02-02,DEF,65,12,25,NYK,63,19,16,31,41
1947-02-03,PIT,68,11,26,BOM,63,25,11,36,37
1947-02-03,PHW,61,20,16,BOS,55,13,25,33,41
1947-02-04,PHW,75,21,16,PRO,68,17,18,38,34
1947-02-05,PIT,55,12,26,HUS,58,13,23,25,49
1947-02-05,DEF,46,13,25,WAS,67,30,7,43,32
1947-02-05,NYK,46,19,17,BOM,71,25,12,44,29
1947-02-06,CHS,109,23,14,PIT,85,12,27,35,41
1947-02-06,PRO,65,17,19,BOM,73,26,12,43,31
1947-02-06,PHW,79,22,16,HUS,61,14,23,36,39
1947-02-06,BOS,49,13,26,NYK,48,19,18,32,44
1947-02-08,BOM,65,27,12,WAS,68,31,7,58,19
1947-02-08,DEF,64,13,26,PIT,58,12,28,25,54
1947-02-08,PRO,67,17,20,PHW,58,23,16,40,36
1947-02-08,NYK,69,19,19,HUS,46,14,24,33,43
1947-02-09,CLR,69,17,19,DEF,74,14,26,31,45
1947-02-09,CHS,85,24,14,WAS,67,32,7,56,21
1947-02-10,PIT,75,12,29,WAS,69,32,8,44,37
1947-02-11,CLR,85,17,20,PRO,76,18,20,35,40
1947-02-11,PHW,75,23,17,BOM,59,27,13,50,30
1947-02-12,PIT,82,13,29,CHS,101,25,14,38,43
1947-02-12,NYK,78,20,19,WAS,72,32,9,52,28
1947-02-12,DEF,84,15,26,PRO,64,18,21,33,47
1947-02-13,CHS,81,26,14,PRO,79,18,22,44,36
1947-02-13,BOS,64,14,26,BOM,54,27,14,41,40
1947-02-13,PHW,61,24,17,CLR,48,18,20,42,37
1947-02-14,HUS,84,14,25,PIT,73,13,30,27,55
1947-02-15,NYK,84,21,19,CLR,90,18,21,39,40
1947-02-15,PRO,82,18,23,PIT,72,13,31,31,54
1947-02-15,WAS,70,32,10,PHW,60,25,17,57,27
1947-02-16,CHS,84,27,14,BOS,77,15,26,42,40
1947-02-16,CLR,75,19,21,PHW,71,25,18,44,39
1947-02-16,BOM,80,27,15,HUS,64,15,25,42,40
1947-02-16,DEF,58,16,26,NYK,66,21,20,37,46
1947-02-17,PIT,63,13,32,DEF,59,16,27,29,59
1947-02-18,CLR,84,20,21,BOS,73,15,27,35,48
1947-02-18,HUS,65,15,26,BOM,57,28,15,43,41
1947-02-19,NYK,62,22,20,PRO,69,19,23,41,43
1947-02-19,WAS,69,33,10,HUS,59,16,26,49,36
1947-02-19,DEF,51,16,28,BOS,57,15,28,31,56
1947-02-20,CHS,74,28,14,DEF,76,16,29,44,43
1947-02-20,PRO,74,20,23,WAS,82,34,10,54,33
1947-02-20,PHW,78,25,19,PIT,66,14,32,39,51
1947-02-21,HUS,67,16,27,BOS,61,16,28,32,55
1947-02-21,BOM,65,28,16,CHS,60,28,15,56,31
1947-02-21,NYK,77,22,21,PIT,49,14,33,36,54
1947-02-22,PRO,85,20,24,CLR,77,21,21,41,45
1947-02-22,WAS,93,35,10,PIT,61,14,34,49,44
1947-02-23,CLR,83,21,22,WAS,91,36,10,57,32
1947-02-23,CHS,82,28,16,NYK,68,23,21,51,37
1947-02-23,BOM,71,29,16,PHW,66,26,19,55,35
1947-02-23,BOS,55,16,29,PRO,67,21,24,37,53
1947-02-23,DEF,61,17,29,HUS,52,17,27,34,56
1947-02-24,PIT,67,14,35,PHW,69,26,20,40,55
1947-02-24,WAS,83,37,10,BOS,59,16,30,53,40
1947-02-25,CLR,76,21,23,BOM,96,30,16,51,39
1947-02-25,HUS,83,17,28,PRO,60,22,24,39,52
1947-02-26,DEF,68,18,29,CHS,72,29,16,47,45
1947-02-26,PHW,75,27,20,BOM,65,31,16,58,36
1947-02-26,NYK,60,23,22,WAS,84,38,10,61,32
1947-02-26,PIT,53,14,36,CLR,74,21,24,35,60
1947-02-27,PRO,65,22,25,NYK,73,23,23,45,48
1947-02-28,HUS,77,18,28,PHW,69,28,20,46,48
1947-02-28,BOS,69,16,31,CLR,62,22,24,38,55
1947-03-01,PRO,80,22,26,DEF,74,18,30,40,56
1947-03-01,WAS,75,39,10,BOS,52,17,31,56,41
1947-03-01,NYK,63,24,23,HUS,48,19,28,43,51
1947-03-02,CHS,98,30,16,BOM,86,31,17,61,33
1947-03-02,CLR,72,22,25,PHW,69,28,21,50,46
1947-03-03,BOM,71,31,18,PRO,70,23,26,54,44
1947-03-03,PIT,66,14,37,CHS,69,31,16,45,53
1947-03-03,PHW,76,28,22,HUS,66,19,29,47,51
1947-03-04,CLR,82,23,25,PRO,76,23,27,46,52
1947-03-05,WAS,99,40,10,DEF,67,18,31,58,41
1947-03-05,PIT,60,14,38,HUS,63,19,30,33,68
1947-03-06,CHS,72,32,16,PIT,71,14,39,46,55
1947-03-06,BOS,74,17,32,DEF,65,18,32,35,64
