id,word_key,book_key,dict_key,pos,usage,timestamp
2002-American_Gods:21D8B112:137157:6,en:and,2002-American_Gods:21D8B112,B0053VMNY2,137157,"She put her foot down on the gas then, making the engine roar, and drove on and away. ",1429072078999
2002-American_Gods:21D8B112:175538:9,en:sailed,2002-American_Gods:21D8B112,B0053VMNY2,175538,"He spoke in words none of them could understand, not even their bard, who had been on a ship that had sailed through the pillars of Hercules and who could speak the trader’s pidgin men spoke all across the Mediterranean. ",1429074000887
2002-American_Gods:21D8B112:238802:15,en:vicissitudes,2002-American_Gods:21D8B112,B0053VMNY2,238802,"Essie gave thanks for her escapes from her vicissitudes to all the creatures that she had been told of as a child, to the piskies (whose influence, she was certain, extended as far as London), and she would put a wooden bowl of milk on a window ledge each night, although her friends laughed at her; but she had the last laugh, as her friends got the pox or the clap and Essie remained in the peak of health. ",1429076324197
2002-American_Gods:21D8B112:240128:11,en:spurious,2002-American_Gods:21D8B112,B0053VMNY2,240128,"Found guilty, Essie shocked no one by pleading her belly, although the town matrons, who assessed such claims (which were usually spurious) were surprised when they were forced to agree that Essie was indeed with child; although who the father was, Essie declined to say. ",1429076404358
2002-American_Gods:21D8B112:242024:10,en:rickety,2002-American_Gods:21D8B112,B0053VMNY2,242024,"So Essie’s baby boy, whom she called Anthony, after, she said, her late husband his father (knowing there was none there to contradict her, and perhaps she had known an Anthony once), sucked at Essie’s breast alongside of Phyllida Richardson, and her employer’s child always got first suck, so she grew into a healthy child, tall and strong, while Essie’s son grew weak and rickety on what was left. ",1429076542561
2002-American_Gods:21D8B112:430253:9,en:gently,2002-American_Gods:21D8B112,B0053VMNY2,430253,"Morning found Shadow back on the road, driving through a gently undulating brown landscape of winter grass and leafless trees. ",1429141340005
2002-American_Gods:21D8B112:460198:7,en:room,2002-American_Gods:21D8B112,B0053VMNY2,460198,"He sits on the bed, which fills most of the small white room, and listens to the sound of the shower running. ",1429228562672
2002-American_Gods:21D8B112:470105:11,en:perforce,2002-American_Gods:21D8B112,B0053VMNY2,470105,"“In the field of funeral homes, however, things are, perforce, different. ",1429228911745
2002-American_Gods:21D8B112:562151:12,en:seventeen,2002-American_Gods:21D8B112,B0053VMNY2,562151,"The waitress—what was she, Shadow wondered: sixteen, seventeen?—looked at the floor and her cheeks flushed crimson. ",1429231446477
2002-American_Gods:21D8B112:622579:10,en:arching,2002-American_Gods:21D8B112,B0053VMNY2,622579,"He found himself remembering Low Key Lyesmith’s tall tales of the Minnesota winters—particularly the one about a hunter treed by a bear during a hard freeze who took out his dick and pissed an arching yellow stream of steaming urine that was already frozen hard before it hit the ground, then slid down the rock-hard frozen-piss-pole to freedom. ",1429241030628
2002-American_Gods:21D8B112:778796:13,en:plantation,2002-American_Gods:21D8B112,B0053VMNY2,778796,"They fought for twelve years, a maddening, bloody struggle with the plantation owners, with the troops brought over from France. ",1429245995249
2002-American_Gods:21D8B112:883850:11,en:madonnas,2002-American_Gods:21D8B112,B0053VMNY2,883850,All you fucking madonnas.” ,1429374207360
2002-American_Gods:21D8B112:906673:6,en:You,2002-American_Gods:21D8B112,B0053VMNY2,906673,"“You don’t give two fucking cents, son. ",1429374714648
2002-American_Gods:21D8B112:915604:7,en:Well,2002-American_Gods:21D8B112,B0053VMNY2,915604,"“Well, he’s been out in Oklahoma for ten years,” said Marguerite. ",1429374951771
2002-American_Gods:21D8B112:1038086:6,en:bad,2002-American_Gods:21D8B112,B0053VMNY2,1038086,Prison friendships are good things: they get you through bad places and through dark times. ,1429378698874
2003-Hominids:042204AF:298439:8,en:chose,2003-Hominids:042204AF,B0053VMNY2,298439,“I didn’t say I chose it. ,1429470601588
2003-Hominids:042204AF:551008:12,en:household,2003-Hominids:042204AF,B0053VMNY2,551008,“You share household expenses and chores.” ,1429474954842
2004-Paladin_of_souls:C03B5F5E:4450:12,en:cavalcade,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,4450,Dy Baocia's cavalcade filed off down the hill through the town and was soon lost from her view among the crowded red-tiled roofs. ,1429567405784
2004-Paladin_of_souls:C03B5F5E:7079:16,en:crenellations,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,7079,"She leaned between the crenellations again, the stone abrading the lavender sleeves of her court mourning dress, catching at its silk threads. ",1429567599643
2004-Paladin_of_souls:C03B5F5E:33198:7,en:duet,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,33198,"A not entirely harmonious but thoroughly good-natured duet rose behind them, fading with distance. ",1429979365558
2004-Paladin_of_souls:C03B5F5E:39323:10,en:baldric,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,39323,"The shorter fellow was deeply muscled, and the heavy broadsword that hung from his baldric was clearly no courtier's toy. ",1429979787534
2004-Paladin_of_souls:C03B5F5E:81912:6,en:But,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,81912,But it wasn't true. ,1430025620705
2004-Paladin_of_souls:C03B5F5E:398311:11,en:suitable,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,398311,"Liss hadn't finished drying before the acolyte finished her tutelage, turned over a supply of bandages and ointments, gathered her things, received a suitable vail from Ista for her pains, and scampered off for home. ",1430093380872
2004-Paladin_of_souls:C03B5F5E:400539:9,en:castle,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,400539,"Lady Cattilara, or her castle cook, at least did not attempt to ape the excesses, or worse, what they imagined to be the excesses, of Cardegoss court feasting, but served simple, fresh fare. ",1430093384032
2004-Paladin_of_souls:C03B5F5E:398320:7,en:vail,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,398320,"Liss hadn't finished drying before the acolyte finished her tutelage, turned over a supply of bandages and ointments, gathered her things, received a suitable vail from Ista for her pains, and scampered off for home. ",1430093388555
2004-Paladin_of_souls:C03B5F5E:669112:7,en:laze,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,669112,"I asked for the best-trained horse in the stable for you, and they begged me to take him out, because since Lord Illvin fell sick he's done little but laze in his stall and eat and get fat."" ",1430111925343
2004-Paladin_of_souls:C03B5F5E:692235:6,en:one,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,692235,"No one bends a god."" ",1430112557751
2004-Paladin_of_souls:C03B5F5E:777609:8,en:maybe,2004-Paladin_of_souls:C03B5F5E,B0053VMNY2,777609,"Or maybe Arhys, a prudent commander, merely wanted to get all the useless deadwood stored in one safe place. ",1430183028044
2006-Spin:D0A8A544:386853:8,en:added,2006-Spin:D0A8A544,B0053VMNY2,386853,"""But this is a good place to be,"" she added. ",1430527511235
2007-Rainbows_End:44C53451:3614:7,en:elan,2007-Rainbows_End:44C53451,B0053VMNY2,3614,"Furthermore (and here the public-relations people regained their usual elan), all such events were subclinical, having essentially no perceptible symptoms. ",1430663846703
2007-Rainbows_End:44C53451:651270:12,en:Emergency,2007-Rainbows_End:44C53451,B0053VMNY2,651270,Emergency flags came up in every view. ,1430709337929
2007-Rainbows_End:44C53451:873627:6,en:for,2007-Rainbows_End:44C53451,B0053VMNY2,873627,Robert sat beside the enum for almost half an hour. ,1430714929896
2009-The_Graveyard_Book:C985908D:24796:11,en:obduracy,2009-The_Graveyard_Book:C985908D,B0053VMNY2,24796,"Your obduracy is quite, is…well, can’t you see how ridiculous this is?” ",1430795631459
2009-The_Graveyard_Book:C985908D:24448:7,en:them,2009-The_Graveyard_Book:C985908D,B0053VMNY2,24448,"There were, all told, some ten thousand souls in the graveyard, but most of them slept deep, or took no interest in the night-to-night affairs of the place, and there were less than three hundred of them up there, in the amphitheater, in the moonlight. ",1430795716650
2009-The_Graveyard_Book:C985908D:267371:11,en:apoplexy,2009-The_Graveyard_Book:C985908D,B0053VMNY2,267371,"Thackeray had spent five hours being sent all over the town one slushy January morning, being laughed at in each establishment he visited and then sent on to the next; when he realized he had been made a fool of, he had taken an angry case of apoplexy, which carried him off within the week, and he died glaring furiously at the other apprentices and even at Mr. ",1430977643354
The_Subtle_Knife:2AE8923A:459304:6,en:and,The_Subtle_Knife:2AE8923A,B0053VMNY2,459304,Maybe that’s so and maybe it ain’t. ,1438548267537
Infinite_Jest:E42F19F0:291476:11,en:straight,Infinite_Jest:E42F19F0,B0053VMNY2,291476,"No different, maybe,’ Schtitt concedes, sitting up straight on a waffle-seated aluminum chair with Mario beneath an askew umbrella that makes the flimsy little table it’s rooted to shake and clank in the sidewalk’s breeze. ",1441779606920
Infinite_Jest:E42F19F0:315051:11,en:Canadian,Infinite_Jest:E42F19F0,B0053VMNY2,315051,With the slight pause of which Steeply could excel: ‘Particularly a Canadian pulse.’ ,1441836536571
Infinite_Jest:E42F19F0:346012:9,en:extant,Infinite_Jest:E42F19F0,B0053VMNY2,346012,"Yankee, a great-grandmother with Pima-tribe Indian S.W. blood, and Canadian cross-breeding, Hal is the only extant Incandenza who looks in any way ethnic. ",1441852199827
Infinite_Jest:E42F19F0:768177:13,en:undulating,Infinite_Jest:E42F19F0,B0053VMNY2,768177,"The better dancers’ movements are so tiny they are evocative and compel watching, their near-static mass curdled and bent somehow subtly around one beautiful young woman, quite beautiful, her back undulating minimally in a thin tight blue-and-white-striped sailorish top as she alludes to a cha-cha with maracas empty of anything to rattle, watching herself almost dance in the full-length mirror of quality plate that after Orin left Joelle had forbidden Jim to hang and had slid beneath her bed face-down; now it’s the west wall’s framed mirror, hung between two empty ornate gilt frames Notkin thinks she’s been retroironic by having the frames themselves framed, in rather less ornate frames,",1443361363284
Infinite_Jest:E42F19F0:854246:12,en:obversion,Infinite_Jest:E42F19F0,B0053VMNY2,854246,"It was such a simple obversion of my normal goods-delivery-preparation system that it hadn’t once occurred to me, Lyle explained.’ ",1443365648983
