rank	date	genre	slug	artist	album	spotify	year
50	April 14, 2009	Lo-Fi	Woods - Songs of Shame	Woods	Songs of Shame	3rzVaWFBzvC7Yg6KSC7cVx	2009
49	June 2, 2009	Folk	Cass McCombs - Catacombs	Cass McCombs	Catacombs	2khhyKTcinEqcjIKetZD6X	2009
48	March 24, 2009	Hip Hop	DOOM - Born Like This	DOOM	Born Like This	3uIl85UIv3OaNRYbz7mrnd	2009
47	December 9, 2008	Dubstep	Zomby - Where Were U in 92?	Zomby	Where Were U in 92?	5duVh1qXfn9Sb0R7y6eo7r	2009
46	March 24, 2009	Indietronica	Dan Deacon - Bromst	Dan Deacon	Bromst	6SsP7QnagGoYqMRsxryQu5	2009
45	October 6, 2009	Indie Rock	The Mountain Goats - The Life of the World to Come	The Mountain Goats	The Life of the World to Come	7myOX1aVACQg3tnm62U6SI	2009
44	March 19, 2009	Freak Folk	tUnE-yArDs - BiRd-BrAiNs	tUnE-yArDs	BiRd-BrAiNs	1EwM5spoTKiTz25if5DEER	2009
43	January 20, 2009	Indie Rock	Cymbals Eat Guitars - Why There Are Mountains	Cymbals Eat Guitars	Why There Are Mountains	1BqKOalH2iJdlPL7pBrf8W	2009
42	September 15, 2009	Shoegaze	A Sunny Day in Glasgow - Ashes Grammar	A Sunny Day in Glasgow	Ashes Grammar	6KVEo7d6PJxpJqjuZVfWlh	2009
41	October 13, 2009	Sludge Metal	Baroness - Blue Record	Baroness	Blue Record	489qYkpzu44u4I6W9Ldtsx	2009
40	June 9, 2009	Hip Hop	Mos Def - The Ecstatic	Mos Def	The Ecstatic	5Oa2WgO3Jfuw2IKYrZNzTi	2009
39	September 8, 2009	Experimental	Jim O'Rourke - The Visitor	Jim O'Rourke	The Visitor		2009
38	June 16, 2009	Dancehall	Major Lazer - Guns Don't Kill People...Lazers Do	Major Lazer	Guns Don't Kill People...Lazers Do	51mR8ZUahC3H8V6j9Guq65	2009
37	March 3, 2009	Indie Rock	The Antlers - Hospice	The Antlers	Hospice	6fFp2F91noBeodV88bRwTD	2009
36	June 23, 2009	Alternative Rock	Dinosaur Jr. - Farm	Dinosaur Jr.	Farm	6IJJRVh2DWLxyZwVCi3ImK	2009
35	July 1, 2009	Electronic	JJ - jj n° 2	JJ	jj n° 2	0J0rFQDKn8v8EfAoRJ9Ojs	2009
34	May 19, 2009	Electronic	Passion Pit - Manners	Passion Pit	Manners	6H51jH1SuzV6ca1VxW2Tmv	2009
33	June 23, 2009	Experimental	Bibio - Ambivalence Avenue	Bibio	Ambivalence Avenue	7ybrct8gCd1mWsHS32ID8w	2009
32	October 20, 2009	Experimental Rock	Bear in Heaven - Beast Rest Forth Mouth	Bear in Heaven	Beast Rest Forth Mouth	4I84eFKsYX024qD05okY1x	2009
31	May 26, 2009	Drone Metal	Sunn O))) - Monoliths and Dimensions	Sunn O)))	Monoliths and Dimensions		2009
30	March 23, 2009	Electronic	Röyksopp - Junior	Röyksopp	Junior	6vQMbwthchxuSioACn2hcE	2009
29	September 8, 2009	Indie Rock	Yo La Tengo - Popular Songs	Yo La Tengo	Popular Songs	5Vi8AMs747kpnUAJRrGx0p	2009
28	March 9, 2009	Experimental	Micachu and the Shapes - Jewellery	Micachu and the Shapes	Jewellery	06brN4S472isNabA18BfJn	2009
27	October 27, 2009	Dubstep	Various Artists - 5: Five Years of Hyperdub	Various Artists	5: Five Years of Hyperdub	6a6PyGv5ZB1kR8QPV5aLHy	2009
26	January 20, 2009	Indie Folk	Bon Iver - Blood Bank EP	Bon Iver	Blood Bank EP	4LJ5oHS5UGQCC3p7NqYxuB	2009
25	June 9, 2009	Hip Hop	DJ Quik & Kurupt - Blaqkout	DJ Quik & Kurupt	Blaqkout	1fCu4LGOOCv1PvSdsoamLW	2009
24	April 14, 2009	Folk	Bill Callahan - Sometimes I Wish We Were An Eagle	Bill Callahan	Sometimes I Wish We Were An Eagle	2jalkvKIskN3GecqZAuqam	2009
23	August 25, 2009	Electronic	Memory Tapes - Seek Magic	Memory Tapes	Seek Magic	6ZchCmgi5vVSOBc1asPQKB	2009
22	September 8, 2009	Indie Rock	Wild Beasts - Two Dancers	Wild Beasts	Two Dancers	6Eoj1zHUY3VYUocKZVCawO	2009
21	March 3, 2009	Alt-Country	Neko Case - Middle Cyclone	Neko Case	Middle Cyclone	3XwQUKck8AiuLlOVubM5J5	2009
20	November 17, 2009	Lo-Fi	Real Estate - Real Estate	Real Estate	Real Estate	43uj7422MLR9MRBXSki0El	2009
19	February 3, 2009	Indie Pop	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	The Pains of Being Pure at Heart	The Pains of Being Pure at Heart	5uWuwlHON5texRWxdgtiS2	2009
18	October 20, 2009	Psychedelic Pop	Atlas Sound - Logos	Atlas Sound	Logos	6hQrWdihAPfww18lmdCKFl	2009
