group	t1	t2	winner	date
C	RNG	FB	1	2017-10-05 15:30 HKT
C	G2	SSG	2	2017-10-05 16:30 HKT
B	LZ	IMT	1	2017-10-05 17:30 HKT
B	FNC	GAM	2	2017-10-05 18:30 HKT
A	SKT	C9	1	2017-10-05 19:30 HKT
A	EDG	AHQ	2	2017-10-05 20:30 HKT
D	FW	TSM	2	2017-10-06 15:00 HKT
D	WE	MSF	1	2017-10-06 16:00 HKT
B	IMT	FNC	1	2017-10-06 17:00 HKT
B	LZ	GAM	1	2017-10-06 18:00 HKT
A	AHQ	C9	2	2017-10-06 19:00 HKT
A	EDG	SKT	2	2017-10-06 20:00 HKT
D	TSM	WE	1	2017-10-07 15:00 HKT
D	FW	MSF	2	2017-10-07 16:00 HKT
C	G2	FB	1	2017-10-07 17:00 HKT
C	SSG	RNG	2	2017-10-07 18:00 HKT
A	SKT	AHQ	1	2017-10-07 19:00 HKT
A	C9	EDG	1	2017-10-07 20:00 HKT
D	WE	FW	1	2017-10-08 15:00 HKT
D	MSF	TSM	1	2017-10-08 16:00 HKT
B	GAM	IMT	2	2017-10-08 17:00 HKT
B	FNC	LZ	2	2017-10-08 18:00 HKT
C	FB	SSG	2	2017-10-08 19:00 HKT
C	RNG	G2	1	2017-10-08 20:00 HKT
B	IMT	GAM		2017-10-12 12:00 HKT
B	LZ	FNC		2017-10-12 13:00 HKT
B	FNC	IMT		2017-10-12 14:00 HKT
B	GAM	LZ		2017-10-12 15:00 HKT
B	GAM	FNC		2017-10-12 16:00 HKT
B	IMT	LZ		2017-10-12 17:00 HKT
C	G2	RNG		2017-10-13 12:00 HKT
C	SSG	FB		2017-10-13 13:00 HKT
C	SSG	G2		2017-10-13 14:00 HKT
C	FB	RNG		2017-10-13 15:00 HKT
C	FB	G2		2017-10-13 16:00 HKT
C	RNG	SSG		2017-10-13 17:00 HKT
D	MSF	FW		2017-10-14 12:00 HKT
D	WE	TSM		2017-10-14 13:00 HKT
D	FW	WE		2017-10-14 14:00 HKT
D	TSM	MSF		2017-10-14 15:00 HKT
D	TSM	FW		2017-10-14 16:00 HKT
D	MSF	WE		2017-10-14 17:00 HKT
A	AHQ	SKT		2017-10-15 12:00 HKT
A	EDG	C9		2017-10-15 13:00 HKT
A	AHQ	EDG		2017-10-15 14:00 HKT
A	C9	SKT		2017-10-15 15:00 HKT
A	C9	AHQ		2017-10-15 16:00 HKT
A	SKT	EDG		2017-10-15 17:00 HKT
