group	t1	t2	winner	date
C	KT	TL	1	10-10	
C	EDG	MAD	1	10-10	
A	PVB	FW	2	10-10	
A	AFs	G2	2	10-10	
B	RNG	C9	1	10-10	
B	GEN	VIT	2	10-10	
A	FW	AFs	1	10-11	
A	PVB	G2	1	10-11	
D	100	FNC	2	10-11	
D	iG	GRX	1	10-11	
B	VIT	C9	2	10-11	
B	GEN	RNG	2	10-11	
C	MAD	KT	2	10-12	
C	TL	EDG	2	10-12	
D	FNC	iG	2	10-12	
D	100	GRX	1	10-12	
B	RNG	VIT	1	10-12	
B	C9	GEN	2	10-12	
A	AFs	PVB	1	10-13	
A	G2	FW	1	10-13	
D	iG	100	1	10-13	
D	GRX	FNC	2	10-13	
C	TL	MAD	1	10-13	
C	KT	EDG	1	10-13	
B	VIT	RNG	TBD	10-14	
B	GEN	C9	TBD	10-14	
B	VIT	GEN	TBD	10-14	
B	C9	RNG	TBD	10-14	
B	C9	VIT	TBD	10-14	
B	RNG	GEN	TBD	10-14	
A	AFs	FW	TBD	10-15	
A	G2	PVB	TBD	10-15	
A	FW	G2	TBD	10-15	
A	PVB	AFs	TBD	10-15	
A	FW	PVB	TBD	10-15	
A	G2	AFs	TBD	10-15	
C	TL	KT	TBD	10-16	
C	MAD	EDG	TBD	10-16	
C	MAD	TL	TBD	10-16	
C	EDG	KT	TBD	10-16	
C	EDG	TL	TBD	10-16	
C	KT	MAD	TBD	10-16	
D	FNC	100	TBD	10-17	
D	GRX	iG	TBD	10-17	
D	FNC	GRX	TBD	10-17	
D	100	iG	TBD	10-17	
D	GRX	100	TBD	10-17	
D	iG	FNC	TBD	10-17	
